year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,edu_option_type,nslp_provision_status,charter_school,charter_school_number,charter_funding_type,IRC,low_grade,high_grade,enrollment_K12,free_meal_count_K12,perc_eligible_free_K12,FRPM_count_K12,perc_eligible_FRPM_K12,enrollment_age_5_17,free_meal_count_age_5_17,perc_eligible_free_5_17,FRPM_count_5_17,perc_eligible_FRPM_5_17,CALPADS
2017-2018,10,62117,6113575,Fresno,Clovis Unified,Cedarwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,738,179,24.30%,221,29.90%,731,176,24.10%,217,29.70%,Y
2017-2018,10,62117,6113583,Fresno,Clovis Unified,Copper Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,609,148,24.30%,182,29.90%,597,146,24.50%,180,30.20%,Y
2017-2018,10,62117,6116313,Fresno,Clovis Unified,Clovis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,707,332,47.00%,398,56.30%,697,329,47.20%,394,56.50%,Y
2017-2018,10,62117,6116321,Fresno,Clovis Unified,Reyburn Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1430,621,43.40%,766,53.60%,1430,621,43.40%,766,53.60%,Y
2017-2018,10,62117,6117550,Fresno,Clovis Unified,Century Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,603,167,27.70%,196,32.50%,597,163,27.30%,192,32.20%,Y
2017-2018,10,62117,6120083,Fresno,Clovis Unified,Riverview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,749,133,17.80%,164,21.90%,738,132,17.90%,160,21.70%,Y
2017-2018,10,62117,6120091,Fresno,Clovis Unified,Freedom Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,740,194,26.20%,242,32.70%,729,193,26.50%,241,33.10%,Y
2017-2018,10,62125,1030113,Fresno,Coalinga-Huron Unified,Cambridge High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,51,38,74.50%,38,74.50%,43,33,76.70%,33,76.70%,Y
2017-2018,10,62125,1030477,Fresno,Coalinga-Huron Unified,Chesnut High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,38,35,92.10%,35,92.10%,35,33,94.30%,33,94.30%,Y
2017-2018,10,62125,1030873,Fresno,Coalinga-Huron Unified,Miles W. Culwell Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,2,1,50.00%,1,50.00%,2,1,50.00%,1,50.00%,Y
2017-2018,10,62125,1031376,Fresno,Coalinga-Huron Unified,Coalinga High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1144,754,65.90%,837,73.20%,1107,733,66.20%,816,73.70%,Y
2017-2018,10,62125,6005961,Fresno,Coalinga-Huron Unified,Huron Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,5,845,752,89.00%,795,94.10%,824,733,89.00%,775,94.10%,Y
2017-2018,10,62125,6005979,Fresno,Coalinga-Huron Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,4,5,446,317,71.10%,348,78.00%,446,317,71.10%,348,78.00%,Y
2017-2018,10,62125,6057269,Fresno,Coalinga-Huron Unified,Coalinga Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,640,436,68.10%,471,73.60%,640,436,68.10%,471,73.60%,Y
2017-2018,10,62125,6110209,Fresno,Coalinga-Huron Unified,Henry F. Bishop Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,1,343,256,74.60%,277,80.80%,342,255,74.60%,276,80.70%,Y
2017-2018,10,62125,6110217,Fresno,Coalinga-Huron Unified,Annie E. Cheney Kindergarten,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,K,144,105,72.90%,119,82.60%,116,84,72.40%,95,81.90%,Y
2017-2018,10,62125,6110225,Fresno,Coalinga-Huron Unified,Nell Dawson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,1,3,419,310,74.00%,343,81.90%,419,310,74.00%,343,81.90%,Y
2017-2018,10,62125,6113849,Fresno,Coalinga-Huron Unified,Huron Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,6,8,378,335,88.60%,353,93.40%,378,335,88.60%,353,93.40%,Y
2017-2018,10,62158,108977,Fresno,Fowler Unified,Fowler Academy Community Day (9-12),Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,10,9,90.00%,10,100.00%,10,9,90.00%,10,100.00%,Y
2017-2018,10,62158,120246,Fresno,Fowler Unified,Fowler Academy Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,7,6,85.70%,6,85.70%,5,5,100.00%,5,100.00%,Y
2017-2018,10,62158,126250,Fresno,Fowler Unified,Fowler Academy Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,K,8,7,7,100.00%,7,100.00%,7,7,100.00%,7,100.00%,Y
2017-2018,10,62158,1031954,Fresno,Fowler Unified,Fowler Academy Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,14,14,100.00%,14,100.00%,12,12,100.00%,12,100.00%,Y
2017-2018,10,62158,1032150,Fresno,Fowler Unified,Fowler High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,770,494,64.20%,548,71.20%,744,475,63.80%,529,71.10%,Y
2017-2018,10,62158,6006027,Fresno,Fowler Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,5,472,321,68.00%,360,76.30%,472,321,68.00%,360,76.30%,Y
2017-2018,10,62158,6006043,Fresno,Fowler Unified,Malaga Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,231,202,87.40%,204,88.30%,231,202,87.40%,204,88.30%,Y
2017-2018,10,62158,6006050,Fresno,Fowler Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,2,474,326,68.80%,356,75.10%,447,309,69.10%,339,75.80%,Y
2017-2018,10,62158,6115190,Fresno,Fowler Unified,John Sutter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,624,432,69.20%,471,75.50%,624,432,69.20%,471,75.50%,Y
2017-2018,10,62166,1,Fresno,Fresno Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,10,37.00%,15,55.60%,26,10,38.50%,15,57.70%,Y
2017-2018,10,62166,106740,Fresno,Fresno Unified,Aspen Valley Prep Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,662,Directly funded,Y,K,8,391,262,67.00%,303,77.50%,383,258,67.40%,296,77.30%,Y
2017-2018,10,62166,108100,Fresno,Fresno Unified,Molly S. Bakman Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,827,629,76.10%,775,93.70%,810,614,75.80%,760,93.80%,Y
2017-2018,10,62166,108118,Fresno,Fresno Unified,Akira Yokomi Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,795,551,69.30%,693,87.20%,783,539,68.80%,681,87.00%,Y
2017-2018,10,62166,108555,Fresno,Fresno Unified,Design Science Middle College High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,268,142,53.00%,201,75.00%,265,141,53.20%,199,75.10%,Y
2017-2018,10,62166,113811,Fresno,Fresno Unified,Deborah A. Williams Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,639,541,84.70%,625,97.80%,617,521,84.40%,603,97.70%,Y
2017-2018,10,62166,113829,Fresno,Fresno Unified,Mario G. Olmos Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,795,623,78.40%,777,97.70%,782,615,78.60%,766,98.00%,Y
2017-2018,10,62166,114355,Fresno,Fresno Unified,Sierra Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,898,Directly funded,Y,K,12,417,292,70.00%,363,87.10%,387,271,70.00%,334,86.30%,Y
2017-2018,10,62166,114553,Fresno,Fresno Unified,University High,Unified School District,High Schools (Public),Traditional,N/A,Yes,890,Directly funded,Y,9,12,489,74,15.10%,74,15.10%,479,74,15.40%,74,15.40%,Y
2017-2018,10,62166,119339,Fresno,Fresno Unified,Vang Pao Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,822,658,80.00%,806,98.10%,809,649,80.20%,793,98.00%,Y
2017-2018,10,62166,120964,Fresno,Fresno Unified,Phoenix Secondary,Unified School District,District Community Day Schools,Community Day School,CEP,No ,N/A,N/A,N,7,12,69,58,84.10%,64,92.80%,68,57,83.80%,63,92.60%,Y
2017-2018,10,62166,121533,Fresno,Fresno Unified,Morris E. Dailey Charter Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,1172,Locally funded,N,K,5,398,100,25.10%,152,38.20%,398,100,25.10%,152,38.20%,Y
2017-2018,10,62166,127514,Fresno,Fresno Unified,Kepler Neighborhood,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1503,Directly funded,Y,K,8,465,224,48.20%,252,54.20%,436,213,48.90%,241,55.30%,Y
2017-2018,10,62166,129338,Fresno,Fresno Unified,Rutherford B. Gaston Sr. Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,879,703,80.00%,860,97.80%,879,703,80.00%,860,97.80%,Y
2017-2018,10,62166,132134,Fresno,Fresno Unified,Phillip J Patino School of Entrepreneurship,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,10,12,258,128,49.60%,196,76.00%,253,126,49.80%,192,75.90%,Y
2017-2018,10,62166,133942,Fresno,Fresno Unified,Aspen Meadow Public,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1792,Directly funded,Y,K,8,120,95,79.20%,102,85.00%,120,95,79.20%,102,85.00%,Y
2017-2018,10,62166,136150,Fresno,Fresno Unified,Wawona K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,494,334,67.60%,442,89.50%,494,334,67.60%,442,89.50%,Y
2017-2018,10,62166,1030279,Fresno,Fresno Unified,Bullard High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2583,1126,43.60%,1613,62.40%,2515,1091,43.40%,1569,62.40%,Y
2017-2018,10,62166,1030287,Fresno,Fresno Unified,J. E. Young Academic Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,K,12,262,206,78.60%,242,92.40%,244,191,78.30%,224,91.80%,Y
2017-2018,10,62166,1030295,Fresno,Fresno Unified,Erma Duncan Polytechnical High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1103,734,66.50%,963,87.30%,1088,725,66.60%,952,87.50%,Y
2017-2018,10,62166,1030584,Fresno,Fresno Unified,Cambridge Continuation High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,494,388,78.50%,456,92.30%,428,335,78.30%,395,92.30%,Y
2017-2018,10,62166,1030642,Fresno,Fresno Unified,School of Unlimited Learning,Unified School District,High Schools (Public),Traditional,N/A,Yes,149,Directly funded,Y,9,12,155,136,87.70%,142,91.60%,110,93,84.50%,98,89.10%,Y
2017-2018,10,62166,1030675,Fresno,Fresno Unified,Sunnyside High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2837,1885,66.40%,2531,89.20%,2771,1841,66.40%,2471,89.20%,Y
2017-2018,10,62166,1030717,Fresno,Fresno Unified,Florence E. Rata,Unified School District,Special Education Schools (Public),Special Education School,CEP,No ,N/A,N/A,N,8,12,40,13,32.50%,29,72.50%,39,13,33.30%,28,71.80%,Y
2017-2018,10,62166,1030840,Fresno,Fresno Unified,Carter G. Woodson Public Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,378,Directly funded,Y,7,12,345,326,94.50%,332,96.20%,275,258,93.80%,263,95.60%,Y
2017-2018,10,62166,1031632,Fresno,Fresno Unified,Dewolf Continuation High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,7,12,151,127,84.10%,140,92.70%,125,107,85.60%,117,93.60%,Y
2017-2018,10,62166,1031897,Fresno,Fresno Unified,Edison High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2571,1526,59.40%,2024,78.70%,2525,1497,59.30%,1986,78.70%,Y
2017-2018,10,62166,1032507,Fresno,Fresno Unified,Fresno High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2194,1506,68.60%,1899,86.60%,2135,1461,68.40%,1846,86.50%,Y
2017-2018,10,62166,1032911,Fresno,Fresno Unified,Herbert Hoover High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1725,1047,60.70%,1447,83.90%,1657,1004,60.60%,1389,83.80%,Y
2017-2018,10,62166,1034214,Fresno,Fresno Unified,McLane High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1772,1332,75.20%,1625,91.70%,1724,1294,75.10%,1580,91.60%,Y
2017-2018,10,62166,1035831,Fresno,Fresno Unified,Roosevelt High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2182,1607,73.60%,2001,91.70%,2122,1559,73.50%,1944,91.60%,Y
2017-2018,10,62166,6006068,Fresno,Fresno Unified,Addams Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,816,667,81.70%,804,98.50%,805,657,81.60%,793,98.50%,Y
2017-2018,10,62166,6006076,Fresno,Fresno Unified,Aynesworth Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,644,462,71.70%,622,96.60%,633,456,72.00%,612,96.70%,Y
2017-2018,10,62166,6006084,Fresno,Fresno Unified,Baird Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,5,8,613,181,29.50%,330,53.80%,613,181,29.50%,330,53.80%,Y
2017-2018,10,62166,6006092,Fresno,Fresno Unified,Birney Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,809,687,84.90%,787,97.30%,789,670,84.90%,770,97.60%,Y
2017-2018,10,62166,6006100,Fresno,Fresno Unified,Bullard Talent Project,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,8,758,289,38.10%,471,62.10%,758,289,38.10%,471,62.10%,Y
2017-2018,10,62166,6006118,Fresno,Fresno Unified,Burroughs Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,756,595,78.70%,731,96.70%,741,583,78.70%,718,96.90%,Y
2017-2018,10,62166,6006126,Fresno,Fresno Unified,Calwa Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,681,541,79.40%,667,97.90%,666,529,79.40%,653,98.00%,Y
2017-2018,10,62166,6006142,Fresno,Fresno Unified,Centennial Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,778,579,74.40%,740,95.10%,768,570,74.20%,731,95.20%,Y
2017-2018,10,62166,6006159,Fresno,Fresno Unified,Columbia Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,620,505,81.50%,609,98.20%,601,489,81.40%,592,98.50%,Y
2017-2018,10,62166,6006183,Fresno,Fresno Unified,Del Mar Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,572,460,80.40%,549,96.00%,563,452,80.30%,540,95.90%,Y
2017-2018,10,62166,6006191,Fresno,Fresno Unified,Easterby Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,689,506,73.40%,654,94.90%,676,497,73.50%,641,94.80%,Y
2017-2018,10,62166,6006217,Fresno,Fresno Unified,Ericson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,701,561,80.00%,663,94.60%,683,546,79.90%,647,94.70%,Y
2017-2018,10,62166,6006225,Fresno,Fresno Unified,Ewing Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,805,555,68.90%,728,90.40%,786,542,69.00%,711,90.50%,Y
2017-2018,10,62166,6006233,Fresno,Fresno Unified,Figarden Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,611,314,51.40%,455,74.50%,597,307,51.40%,446,74.70%,Y
2017-2018,10,62166,6006258,Fresno,Fresno Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,539,426,79.00%,523,97.00%,528,415,78.60%,512,97.00%,Y
2017-2018,10,62166,6006266,Fresno,Fresno Unified,Gibson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,473,189,40.00%,293,61.90%,460,186,40.40%,289,62.80%,Y
2017-2018,10,62166,6006274,Fresno,Fresno Unified,Heaton Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,652,549,84.20%,628,96.30%,638,541,84.80%,616,96.60%,Y
2017-2018,10,62166,6006282,Fresno,Fresno Unified,Holland Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,472,364,77.10%,435,92.20%,461,355,77.00%,426,92.40%,Y
2017-2018,10,62166,6006290,Fresno,Fresno Unified,Homan Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,636,532,83.60%,621,97.60%,625,522,83.50%,610,97.60%,Y
2017-2018,10,62166,6006308,Fresno,Fresno Unified,Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,414,330,79.70%,397,95.90%,406,327,80.50%,389,95.80%,Y
2017-2018,10,62166,6006316,Fresno,Fresno Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,474,378,79.70%,463,97.70%,464,370,79.70%,453,97.60%,Y
2017-2018,10,62166,6006324,Fresno,Fresno Unified,Kirk Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,340,281,82.60%,337,99.10%,330,273,82.70%,327,99.10%,Y
2017-2018,10,62166,6006332,Fresno,Fresno Unified,Kratt Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,573,360,62.80%,473,82.50%,561,354,63.10%,463,82.50%,Y
2017-2018,10,62166,6006357,Fresno,Fresno Unified,Lane Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,700,571,81.60%,682,97.40%,692,563,81.40%,674,97.40%,Y
2017-2018,10,62166,6006365,Fresno,Fresno Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,573,483,84.30%,568,99.10%,561,473,84.30%,556,99.10%,Y
2017-2018,10,62166,6006373,Fresno,Fresno Unified,Lowell Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,465,393,84.50%,451,97.00%,456,385,84.40%,443,97.10%,Y
2017-2018,10,62166,6006381,Fresno,Fresno Unified,Malloch Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,470,174,37.00%,241,51.30%,457,168,36.80%,234,51.20%,Y
2017-2018,10,62166,6006407,Fresno,Fresno Unified,Mayfair Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,692,546,78.90%,678,98.00%,680,536,78.80%,667,98.10%,Y
2017-2018,10,62166,6006415,Fresno,Fresno Unified,Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,544,466,85.70%,522,96.00%,534,457,85.60%,513,96.10%,Y
2017-2018,10,62166,6006423,Fresno,Fresno Unified,Norseman Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,740,591,79.90%,718,97.00%,725,579,79.90%,703,97.00%,Y
2017-2018,10,62166,6006431,Fresno,Fresno Unified,Powers-Ginsburg Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,509,334,65.60%,449,88.20%,497,324,65.20%,437,87.90%,Y
2017-2018,10,62166,6006449,Fresno,Fresno Unified,Pyle Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,775,610,78.70%,743,95.90%,753,593,78.80%,724,96.10%,Y
2017-2018,10,62166,6006456,Fresno,Fresno Unified,Robinson Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,516,369,71.50%,462,89.50%,505,360,71.30%,451,89.30%,Y
2017-2018,10,62166,6006464,Fresno,Fresno Unified,Roeding Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,697,569,81.60%,674,96.70%,689,562,81.60%,666,96.70%,Y
2017-2018,10,62166,6006472,Fresno,Fresno Unified,Rowell Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,669,540,80.70%,658,98.40%,654,531,81.20%,644,98.50%,Y
2017-2018,10,62166,6006480,Fresno,Fresno Unified,Scandinavian Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,8,750,571,76.10%,722,96.30%,750,571,76.10%,722,96.30%,Y
2017-2018,10,62166,6006514,Fresno,Fresno Unified,Thomas Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,6,810,594,73.30%,760,93.80%,793,584,73.60%,744,93.80%,Y
